Sample	First_Run	ECEF	ECFisC	ECty4	EC_A	EC_B	EC_C	Abd	Eye	Leg	Meso	Ovi	Pro	W2	W3	Wings	ECEF_Abd	ECFisC_Abd	ECty4_Abd	ECA_Abd	ECB_Abd	ECC_Abd	ECEF_Eye	ECFisC_Eye	ECty4_Eye	ECEF_Leg	ECFisC_Leg	ECty4_Leg	ECLegs_A	ECLegs_B	ECLegs_C	ECEF_Meso	ECFisC_Meso	ECty4_Meso	ECMeso_A	ECMeso_B	ECMeso_C	ECEF_Ovi	ECFisC_Ovi	ECty4_Ovi	ECA_Ovi	ECC_Ovi	ECEF_Pro	ECFisC_Pro	ECty4_Pro	ECPro_A	ECPro_B	ECPro_C	ECEF_Wing2	ECFisC_Wing2	ECty4_Wing2	ECEF_Wing3	ECFisC_Wing3	ECty4_Wing3	ECWings_A	ECWings_B	ECWings_C
ECEF_Abd	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECEF_Eye	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECEF_Leg	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECEF_Meso	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECEF_Ovi	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECEF_Pro	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECEF_Wing2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ECEF_Wing3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ECFisC_Abd	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECFisC_Eye	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
